produkt,kategoria,kcal_na_100g,bialko_g_na_100g,tluszcz_g_na_100g,weglowodany_g_na_100g
Polędwica wieprzowa,Mięso i wędliny,110,21.0,2.5,0.0
Schab wieprzowy,Mięso i wędliny,142,21.0,6.0,0.0
Kasza gryczana,Pieczywo i produkty zbożowe,343,12.6,3.1,69.0
Kasza jaglana,Pieczywo i produkty zbożowe,360,10.5,3.9,73.0
Makaron pełnoziarnisty,Pieczywo i produkty zbożowe,348,14.0,2.5,65.0
Mąka pszenna typ 1850,Pieczywo i produkty zbożowe,332,12.0,2.0,65.0
Ryż basmati,Pieczywo i produkty zbożowe,350,7.5,0.7,78.0
Pestki dyni,Orzechy i nasiona,559,30.0,49.0,11.0
Siemię lniane,Orzechy i nasiona,534,18.0,42.0,29.0
Makrela wędzona,Ryby i owoce morza,290,20.0,23.0,0.0
Łosoś świeży,Ryby i owoce morza,208,20.0,13.0,0.0
Bulion warzywny,Przyprawy i dodatki,8,0.3,0.1,1.0
Dżem truskawkowy,Przyprawy i dodatki,130,0.5,0.1,32.0
Odżywka białkowa,Przyprawy i dodatki,387,70.0,5.0,14.0
Passata pomidorowa,Przyprawy i dodatki,35,1.5,0.3,7.0
Pesto zielone,Przyprawy i dodatki,520,8.0,50.0,6.0
Szpinak,Owoce i warzywa,23,2.9,0.4,3.6
Kiwi,Owoce i warzywa,61,1.1,0.5,15.0
Szpinak mrożony,Owoce i warzywa,28,3.0,0.4,3.0
Mieszanka sałat,Owoce i warzywa,17,1.5,0.3,2.5
Por,Owoce i warzywa,61,2.1,0.3,14.0
Pietruszka korzeń,Owoce i warzywa,50,3.0,0.5,9.0
Seler korzeniowy,Owoce i warzywa,42,1.5,0.3,9.0
Ananas w syropie,Owoce i warzywa,60,0.4,0.1,15.0
Rodzynki,Owoce i warzywa,299,3.1,0.5,79.0
Słonecznik łuskany,Orzechy i nasiona,584,20.8,51.5,20.0
Mleko sojowe,Nabiał i jaja,40,3.3,1.8,2.8
Masło ekstra,Nabiał i jaja,735,0.7,81.0,0.7
Serek Fromage,Nabiał i jaja,253,6.5,23.0,4.0
Dorsz,Ryby i owoce morza,82,17.8,0.7,0.0
Tuńczyk w sosie własnym,Ryby i owoce morza,108,23.0,1.5,0.0
Ryż brązowy,Pieczywo i produkty zbożowe,360,7.5,2.8,72.0
Cukier,Przyprawy i dodatki,400,0.0,0.0,100.0
Drożdże piekarskie,Przyprawy i dodatki,105,12.0,2.0,12.0
Ocet winny,Przyprawy i dodatki,19,0.0,0.0,0.6
Woda niegazowana,Przyprawy i dodatki,0,0.0,0.0,0.0
Dżem truskawkowy słodzony,Przyprawy i dodatki,270,0.4,0.1,66.0
Dżem z czarnej porzeczki,Przyprawy i dodatki,140,0.5,0.1,34.0
Papryka chili mielona,Przyprawy i dodatki,282,13.0,14.0,50.0
Sok ananasowy,Przyprawy i dodatki,53,0.4,0.1,13.0
Włoszczyzna mrożona,Owoce i warzywa,35,1.8,0.4,7.0
Sos sojowy,Przyprawy i dodatki,60,6.0,0.1,8.0
Bataty,Owoce i warzywa,86,1.6,0.1,20.0
Ogórki konserwowe,Owoce i warzywa,11,0.6,0.1,2.0
Mleko 1.5%,Nabiał i jaja,47,3.4,1.5,4.8
